token,display_token,position,importance_score
.,.,333,0.056726080902164515
▁discussed,▁discussed,332,0.03628571299924354
▁is,▁is,331,0.028716617692157928
atures,atures,330,0.02854128505720969
▁and,▁and,328,0.0172417977904751
▁temper,▁temper,329,0.01533511604090885
▁laws,▁laws,323,0.013472262628774349
eds,eds,327,0.012820339500807902
▁to,▁to,324,0.01281094812426552
astic,astic,321,0.012669307564625084
▁similarity,▁similarity,322,0.011108061880175936
▁higher,▁higher,325,0.010287185034342875
),),307,0.010216843972715762
▁above,▁above,308,0.010164559196525532
el,el,320,0.009864650164720167
.,.,311,0.009451419838299292
ermo,ermo,319,0.009191091593848748
▁spe,▁spe,326,0.008907862219586327
▁given,▁given,310,0.008574571152701903
",",",",313,0.00830854234153475
▁are,▁are,309,0.008249958727574681
1,1,306,0.008129087406022287
▁the,▁the,316,0.007975969080780776
▁situations,▁situations,302,0.007702146885998583
▁of,▁of,315,0.007651850452844783
▁Finally,▁Finally,312,0.0072861158674042805
ized,ized,301,0.007119452686163024
▁aer,▁aer,317,0.007064338077047338
oth,oth,318,0.006821491030499977
▁extension,▁extension,314,0.006759107843824381
▁(,▁(,305,0.006734586609020419
▁in,▁in,304,0.006476198871954362
▁special,▁special,300,0.006162359775476781
▁mentioned,▁mentioned,303,0.006121775464899075
▁the,▁the,299,0.006056286736046099
astic,astic,293,0.005910336846447045
▁for,▁for,298,0.005861573657867814
▁as,▁as,297,0.005547634063888098
▁problem,▁problem,278,0.00554403818314109
astic,astic,277,0.005387288287225654
▁case,▁case,294,0.005182778551728407
el,el,292,0.005137529824976202
▁as,▁as,295,0.004982480175802027
ermo,ermo,291,0.0048500321191561465
▁well,▁well,296,0.004494152612031643
▁for,▁for,286,0.004462701699952343
▁the,▁the,287,0.0044197299112322215
▁of,▁of,270,0.004380967036048679
▁complete,▁complete,272,0.004279230508846049
ing,ing,285,0.0042532655060296045
▁the,▁the,271,0.004242456683525314
et,et,269,0.004229426121365321
.,.,279,0.004107921179647167
ermo,ermo,275,0.004106958926726857
▁general,▁general,288,0.004076861606953272
el,el,276,0.004039664756216422
▁aer,▁aer,273,0.003914219625461787
▁of,▁of,283,0.0038652625671283677
oth,oth,290,0.003863457356100021
▁aer,▁aer,289,0.0038079711568693294
▁model,▁model,284,0.003796157741913743
ating,ating,263,0.0037892850729427247
/,/,260,0.0037881150348334776
▁another,▁another,267,0.0037741725782519235
▁models,▁models,261,0.0037379856435954197
ed,ed,258,0.0036060063837187227
▁purpose,▁purpose,259,0.0035549914322332353
▁Some,▁Some,280,0.0034560941795971564
oth,oth,274,0.0034490557908460344
▁or,▁or,266,0.0034015655177047147
▁one,▁one,265,0.0033836366659245726
▁separately,▁separately,264,0.003381222592087975
▁examples,▁examples,282,0.0033156188718025505
",",",",247,0.00327472622541557
▁to,▁to,244,0.003273550251234461
rict,rict,257,0.003240999780100637
▁/,▁/,255,0.003232673564841237
▁of,▁of,254,0.003197460031603155
▁model,▁model,246,0.0031531510701107964
▁numerical,▁numerical,281,0.0031318003436976933
ly,ly,243,0.0031220148565810125
▁the,▁the,245,0.00309750732055888
▁use,▁use,253,0.003093851102781713
▁fac,▁fac,268,0.00308036048194745
),),251,0.0030597515927091663
▁investig,▁investig,262,0.0030458221052722264
▁and,▁and,248,0.00303725910374445
▁the,▁the,252,0.003032536340186715
▁and,▁and,240,0.0029394378665480534
