token,display_token,position,importance_score
▁plate,▁plate,87,0.0076287352314744795
▁wings,▁wings,9,0.007423610858588937
ated,ated,8,0.007401527831601557
al,al,57,0.007385480181041053
▁plate,▁plate,58,0.0072927656331789725
▁of,▁of,91,0.007268613638237082
▁the,▁the,83,0.007257907500322458
.,.,10,0.007211197564012373
ated,ated,86,0.00718486401491797
ins,ins,81,0.007084948802061351
▁by,▁by,88,0.007032036804757448
▁plate,▁plate,74,0.007031388216971702
▁on,▁on,82,0.006974168533423334
▁and,▁and,49,0.0069658521926621595
▁the,▁the,50,0.006924751667987409
▁the,▁the,53,0.006907228225906385
▁a,▁a,89,0.006886314076232809
▁for,▁for,52,0.0068814320875453475
▁un,▁un,84,0.006851606374192024
▁he,▁he,7,0.006841245027705446
▁from,▁from,78,0.0068405628450203095
▁be,▁be,76,0.006817078523669599
▁can,▁can,75,0.006801675380821946
▁relations,▁relations,92,0.006798304331105412
ated,ated,73,0.006773155037449586
ing,ing,6,0.006750803334212742
▁temperature,▁temperature,35,0.006737086231401133
erm,erm,56,0.006730426054638736
▁calculated,▁calculated,77,0.00668832630808124
▁that,▁that,66,0.006682848619722942
▁loading,▁loading,147,0.006611765846426247
",",",",93,0.006600757688019063
▁measured,▁measured,79,0.006586854727619679
▁plate,▁plate,32,0.0065558919139400975
▁of,▁of,45,0.0065518990540708874
▁at,▁at,33,0.006543677464164705
/,/,146,0.006539105622495978
▁laws,▁laws,99,0.006526625145055641
▁the,▁the,71,0.00652057330855742
▁this,▁this,104,0.006511996821259186
▁the,▁the,67,0.006505361761880188
▁he,▁he,72,0.006489700650296428
▁stress,▁stress,5,0.006475934616904319
▁the,▁the,46,0.006473910526253018
▁the,▁the,95,0.0064737192821800295
▁theory,▁theory,106,0.00645767976228074
▁same,▁same,40,0.0064456784815184204
▁by,▁by,41,0.006437440009024127
ness,ness,48,0.006431730015198796
▁loading,▁loading,51,0.006420194779326666
▁a,▁a,30,0.006418630369477766
▁and,▁and,28,0.006408826329366898
▁can,▁can,36,0.0064043687515632705
▁for,▁for,4,0.006402388375033516
