token,display_token,position,importance_score
.,.,173,0.07447651819206837
▁discussed,▁discussed,172,0.05192555230139709
▁briefly,▁briefly,171,0.03543373608327479
▁is,▁is,170,0.032166600864994725
▁and,▁and,169,0.03023837035985088
▁method,▁method,168,0.026884200385771467
▁analog,▁analog,167,0.02021051878449777
▁same,▁same,166,0.018298305889176945
▁the,▁the,165,0.016447761115999143
▁by,▁by,164,0.016315509680381476
▁structure,▁structure,160,0.015133681894473337
▁solved,▁solved,163,0.014980190553603176
▁can,▁can,161,0.01375369334780668
wing,wing,159,0.0135444543166202
▁be,▁be,162,0.013167030769400071
▁loading,▁loading,147,0.010945545889758096
▁box,▁box,157,0.010742125169887644
ated,ated,156,0.010553182986737726
/,/,146,0.010451974635361691
.,.,148,0.010103244565253704
-,-,158,0.010030735932289236
▁a,▁a,154,0.009596341775425862
▁he,▁he,155,0.009292088261430924
ing,ing,153,0.008775696631770542
▁The,▁The,149,0.00857212573276803
▁of,▁of,151,0.008557524429155266
▁force,▁force,145,0.008028830804663246
▁and,▁and,142,0.007733744145416614
▁problem,▁problem,150,0.007615923711418033
▁stress,▁stress,152,0.0075156731901063235
▁of,▁of,140,0.007424338735527439
▁/,▁/,143,0.007081407964938395
body,body,144,0.006825061372594598
▁and,▁and,135,0.006735212357932129
▁concept,▁concept,139,0.006702124336496119
▁feedback,▁feedback,141,0.006511079288161648
▁novel,▁novel,138,0.006509429868473397
▁the,▁the,137,0.006502121225741369
▁involves,▁involves,136,0.00644198481668372
",",",",133,0.006371540601419799
▁is,▁is,130,0.005973905315897578
▁complicated,▁complicated,134,0.005950171658900829
▁wing,▁wing,129,0.0058842913376090916
▁analog,▁analog,128,0.005736464504088841
ated,ated,127,0.0056556205490639715
",",",",131,0.005473086751613887
▁however,▁however,132,0.005455425170453243
▁un,▁un,125,0.005385906668764842
▁the,▁the,124,0.004926700401156991
▁on,▁on,123,0.0046278382387358865
ating,ating,115,0.004607147508640112
▁The,▁The,121,0.004540446138439468
he,he,126,0.004521616273578617
.,.,120,0.004493801251296376
▁he,▁he,114,0.00441046915014857
▁is,▁is,116,0.004376221640634557
▁detail,▁detail,119,0.004341575962990929
▁theory,▁theory,106,0.004338158409608202
▁loading,▁loading,122,0.004298522820455071
▁this,▁this,104,0.004251418165365529
▁in,▁in,118,0.004135904113390755
▁to,▁to,107,0.004123597933688544
ynamic,ynamic,113,0.004055277528972396
▁plate,▁plate,87,0.004018350938689652
▁of,▁of,91,0.0040109781048002615
▁laws,▁laws,99,0.003980641535012682
▁discussed,▁discussed,117,0.003957361122071895
▁analog,▁analog,105,0.003916922991707974
▁of,▁of,103,0.003901653789332444
▁relations,▁relations,92,0.0037966494721587917
./,./,100,0.0037835054815085205
ity,ity,98,0.0037783371522236717
▁the,▁the,95,0.003750955129722972
▁by,▁by,88,0.0037466219674549446
ated,ated,86,0.0037420237439716128
",",",",93,0.0037312807753134137
▁a,▁a,89,0.0037116444566422926
▁The,▁The,101,0.0037059546463617454
▁wings,▁wings,109,0.0036895593212821435
▁the,▁the,83,0.0036568032502855984
▁under,▁under,110,0.003640077099955664
similar,similar,97,0.0035700049824059876
▁called,▁called,94,0.003530585390140842
ins,ins,81,0.003493710019159107
▁un,▁un,84,0.003490028754063475
▁on,▁on,82,0.0034760617450445824
od,od,112,0.003461834952353002
▁/,▁/,96,0.003394120996896566
▁application,▁application,102,0.0033719260983416923
▁solid,▁solid,108,0.0033337415392399533
▁aer,▁aer,111,0.003280700118893886
▁series,▁series,90,0.003276020119969892
▁from,▁from,78,0.0032688733581510516
▁plate,▁plate,74,0.0032269905660285104
he,he,85,0.003195465113168295
▁be,▁be,76,0.0031918398649347225
▁measured,▁measured,79,0.0031804227024634676
▁calculated,▁calculated,77,0.0031635111549057305
▁can,▁can,75,0.0031527816450901878
ated,ated,73,0.0030780015744113834
▁he,▁he,72,0.002920555291089461
▁the,▁the,71,0.0029062330364405735
al,al,57,0.002901180317592568
▁plate,▁plate,58,0.002889245116236518
▁that,▁that,66,0.0028419283101583466
▁in,▁in,70,0.0028234603767281984
▁the,▁the,67,0.0027920660623200226
▁stra,▁stra,80,0.0027433038094025215
esses,esses,69,0.0026880385435447745
▁result,▁result,65,0.002667355467616792
▁the,▁the,64,0.002640890631107637
▁the,▁the,53,0.0026243512883254495
erm,erm,56,0.0026216432217348877
▁for,▁for,52,0.0025932937266164597
▁to,▁to,63,0.0025887187293787152
▁the,▁the,50,0.00256786497246801
▁and,▁and,49,0.002562605196958331
▁this,▁this,60,0.002494370495406404
▁str,▁str,68,0.0024809196181126473
▁leads,▁leads,62,0.0024600976529078407
▁is,▁is,54,0.0024198913569728826
▁loading,▁loading,51,0.0023999628085985473
▁.,▁.,59,0.002394731171109623
▁fact,▁fact,61,0.0023727144210355954
ness,ness,48,0.0023474809545957574
▁of,▁of,45,0.002336155988906708
▁the,▁the,46,0.0023262424427699354
oth,oth,55,0.00231225066654132
▁temperature,▁temperature,35,0.00223060187616646
▁by,▁by,41,0.002226826542284197
▁same,▁same,40,0.002213160257107373
▁modification,▁modification,44,0.002207691954681676
▁a,▁a,42,0.0021875592040357782
▁proper,▁proper,43,0.0021852045034145766
▁the,▁the,39,0.0021455759160971745
▁at,▁at,33,0.0021360505850234355
▁can,▁can,36,0.0021356964327743687
▁plate,▁plate,32,0.002125072445128464
▁thick,▁thick,47,0.0021237132612930585
▁constant,▁constant,34,0.00208757494987345
▁wings,▁wings,9,0.0020729322250855366
ated,ated,8,0.002054390026775211
▁made,▁made,38,0.0020538131771215998
▁a,▁a,30,0.0020518818838083422
▁be,▁be,37,0.0020428887974392232
▁similar,▁similar,31,0.0020259027749958696
.,.,10,0.0020258227431722404
▁and,▁and,28,0.002020873648494989
▁for,▁for,29,0.0020128728872113194
▁gradient,▁gradient,27,0.0019376193297077865
▁he,▁he,7,0.001887573434316938
▁with,▁with,24,0.0018678398730183647
▁temperature,▁temperature,26,0.0018554302058740122
ing,ing,6,0.0018515981759932559
ated,ated,22,0.0018169709155005267
▁he,▁he,21,0.00181206488691012
▁plate,▁plate,23,0.0018077089767047929
▁large,▁large,25,0.0017966201282332062
▁a,▁a,20,0.0017782884738978062
▁stress,▁stress,5,0.0017657593989570657
▁for,▁for,19,0.0017624407878432458
▁for,▁for,4,0.001735497121237499
▁equations,▁equations,18,0.0017289250614235328
▁the,▁the,16,0.0017144475243311952
▁laws,▁laws,3,0.0016832395038071221
▁that,▁that,15,0.0016809293497673443
▁differential,▁differential,17,0.0016302251449856425
▁shown,▁shown,14,0.0016049927597347208
▁be,▁be,13,0.001572769852957706
ity,ity,2,0.001562533198746458
▁will,▁will,12,0.001513388156488798
▁it,▁it,11,0.0015018936558049284
▁Similar,▁Similar,1,0.0012328941807164641
